"","id","respdate","endtime","qA1","qA2","qA3a","qA3b","qA4","qA5","qA6","qA7","qA8","nq15","q66","q67_1","q67_2","q67_3","q67_4","q67_5","q67_6","q67_7","q67_8","q68","q69_1","q69_2","q69_3","q69_4","q69_5","q69_6","q69_7","q69_8","q70","q71_1","q71_2","q71_3","q71_4","q71_5","q71_6","q71_7","q71_8","q72","q73_1","q73_2","q73_3","q73_4","q73_5","q73_6","q73_7","q73_8","q74","q81_1","q81_2","q81_3","q81_4","q81_5","q81_6","q81_7","q81_8","q82","q84a_1","q84a_2","q84a_3","q84a_4","q84a_5","q84a_6","q84a_7","q84a_8","q84b","q75_1","q75_2","q75_3","q75_4","q75_5","q75_6","q75_7","q75_8","q76","q77_1","q77_2","q77_3","q77_4","q77_5","q77_6","q77_7","q77_8","q78","q83_1","q83_2","q83_3","q83_4","q83_5","q83_6","q83_7","q83_8","q84","q85","q86_1","q86_2","q86_3","q86_5","q86_6","q86_7","q86_8","q86_9","q86_10","q86_11","q87","q88","q89","q90","q91","q92","q92a","q92b","q92c","q92d","Impprobgb","qB1","qB2","qB3","qB4","qB5","qB6","qB7","qB8","qB9","qB10","qB11","qB12","qB13","qB14","qB15","qB16","qB17","qC1","qC2","qC3","qC4","qC5","qC6","qC7","qC8","qC9","qC10","qC11","qC12","qC13","qC14","qC15","qC16","qC17","qC18","qD1","qD2","qD3","qD4","qD5","qD6","qD7","qD8","qD8a","qD8b","qD8c","qD8d","qD9","qD9a","qD9b","qD9c","qD9d","qD10","qD11","qD12","qD13","qD14","profile_bpcage","profile_gender","profile_socialgrade_old","profile_newspaper_readership","W8","W8vote","filter_$"
"399",399,2010-05-07,2010-05-07 15:18:18,2,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Education","education",3,"__NA__","education",3,"__NA__",2,3,4,1,3,1,3,3,3,3,3,9,5,7,7,9,4,8,6,6,6,6,9,3,7,7,9,7,5,1,"__NA__",1,"__NA__",1,2,3,1,5,5,5,5,1,5,5,5,5,3,3,3,3,1,2,2,2,3,1.92421172907835,1.70522770182004,0
"400",400,2010-05-07,2010-05-07 15:18:26,1,1,1,"__NA__",3,1,"__NA__",NA,"__NA__",3,2,1,2,2,1,2,2,2,2,"__NA__",2,1,1,1,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,1,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,2,2,1,2,2,2,2,2,2,"__NA__",2,NA,NA,NA,4,NA,NA,NA,NA,"Economy (General)","ECONOMY",3,"__NA__","ECONOMY",3,"__NA__",2,3,2,3,4,4,3,1,2,3,3,10,1,8,4,7,2,9,5,7,12,12,11,1,8,4,5,3,1,1,"__NA__",1,"__NA__",3,5,1,1,2,1,2,2,1,3,3,3,3,4,2,6,5,4,2,2,2,1,0.230325242020456,0.396991466935873,0
"401",401,2010-05-07,2010-05-07 15:18:27,1,1,1,"__NA__",3,1,"__NA__",NA,"__NA__",10,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,2,2,2,2,2,2,2,2,2,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,"Immigration / Asyl","immigration",5,"__NA__","unemployment",12,"__NA__",2,1,6,1,3,2,3,1,2,3,2,11,5,8,9,8,2,10,8,11,12,7,11,1,9,8,7,3,1,4,"__NA__",1,"__NA__",4,4,1,1,1,1,1,2,1,2,1,4,1,1,2,3,2,1,2,2,2,3,1.92421172907835,1.70522770182004,0
"402",402,2010-05-07,2010-05-07 15:18:31,1,1,1,"__NA__",3,1,"__NA__",NA,"__NA__",2,2,1,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,2,2,2,2,"__NA__",2,4,2,NA,5,NA,NA,NA,NA,"Economy (General)","Economy",3,"__NA__","NONE",1,"__NA__",2,2,6,5,3,3,2,5,2,1,2,9,3,7,6,7,2,7,6,12,12,6,10,4,5,3,2,3,1,1,"__NA__",1,"__NA__",3,2,2,1,1,2,2,2,1,2,2,2,2,4,2,2,5,2,1,1,2,16,0.944917219431142,1.6094319368398,0
"403",403,2010-05-07,2010-05-07 15:19:43,1,1,4,"__NA__",1,1,"__NA__",NA,"__NA__",2,2,1,1,1,1,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,1,1,1,1,1,2,2,"Scottish Nationalist Party, Scottish Socialist Party",NA,NA,NA,NA,2,2,5,5,2,"Other","The Environment/Global Warming",8,"__NA__","Spending cuts",7,"__NA__",3,5,2,3,3,5,2,3,2,2,1,5,1,6,9,7,2,6,6,12,3,7,3,1,1,11,11,1,1,4,"__NA__",4,"__NA__",5,1,1,1,1,1,1,1,1,3,1,3,1,1,1,2,2,1,1,1,2,8,0.656764647792519,0.706962090099203,0
"404",404,2010-05-07,2010-05-07 15:20:04,1,1,1,"__NA__",4,1,"__NA__",NA,"__NA__",1,2,1,1,1,1,2,2,1,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,1,2,2,2,"__NA__",1,3,2,NA,4,NA,NA,3,NA,"Economy (General)","economy",3,"__NA__","economy",3,"__NA__",3,3,3,3,3,3,2,1,2,2,2,10,4,8,6,8,2,10,5,7,6,8,10,1,10,5,1,1,1,1,"__NA__",3,"__NA__",4,1,1,1,2,1,1,2,1,2,1,3,1,1,1,1,1,1,1,2,2,3,1.3536365096171,1.36326338672003,0
"405",405,2010-05-07,2010-05-07 15:20:15,2,1,2,"__NA__",4,2,"__NA__",NA,"__NA__",10,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,2,2,2,2,"__NA__",3,3,3,NA,6,NA,NA,NA,NA,"Immigration / Asyl","imigration",4,"__NA__","dont know",12,"__NA__",5,2,6,5,2,2,2,3,4,2,3,7,7,6,9,5,8,6,12,12,12,12,4,9,12,6,12,4,6,4,"__NA__",2,"__NA__",4,2,1,1,1,1,1,2,1,3,2,3,2,2,2,4,2,4,3,1,2,2,0.972329969946879,0.785603209617725,0
"406",406,2010-05-07,2010-05-07 15:21:16,1,1,4,"__NA__",4,4,"__NA__",5,"__NA__",1,2,1,1,1,1,1,2,1,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,1,2,2,2,"__NA__",1,3,3,NA,1,NA,NA,5,NA,"Economy (General)","economy",3,"__NA__","employment",7,"__NA__",2,2,4,3,2,2,4,4,1,2,1,10,1,2,10,10,1,10,7,6,3,12,11,1,1,11,9,1,1,4,"__NA__",1,"__NA__",3,2,1,1,1,1,1,2,1,4,1,3,2,3,2,2,1,1,2,1,2,16,0.662970545237603,0.907503780504841,1
"407",407,2010-05-07,2010-05-07 15:21:39,1,1,1,"__NA__",4,1,"__NA__",NA,"__NA__",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,2,2,2,2,"__NA__",2,4,3,NA,3,NA,NA,NA,NA,"Economy (General)","economy",3,"__NA__","economy",3,"__NA__",2,3,2,3,2,3,3,3,2,2,3,9,2,6,6,8,2,8,12,8,4,12,11,1,6,1,1,1,1,1,"__NA__",1,"__NA__",4,2,1,1,1,1,1,2,1,2,2,3,2,2,2,3,3,1,3,2,1,2,0.355921496521388,0.361556852110025,0
"408",408,2010-05-07,2010-05-07 15:21:43,1,1,3,"__NA__",3,3,"__NA__",2,"__NA__",2,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,1,1,2,2,2,2,2,2,2,"__NA__",NA,3,3,NA,NA,NA,NA,NA,NA,"Deficit","Debt",4,"__NA__","Buerocracy",4,"__NA__",3,3,2,3,2,3,3,1,4,4,6,3,9,6,3,1,7,8,3,12,7,4,1,9,8,2,1,3,1,2,"__NA__",2,"__NA__",2,2,1,1,1,3,3,2,1,3,3,3,3,2,3,3,3,2,3,1,1,15,1.93123571899686,1.36679715205423,0
"409",409,2010-05-07,2010-05-07 15:23:02,1,1,1,"__NA__",4,3,"__NA__",3,"__NA__",3,2,1,1,2,1,2,1,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Political System","Electoral reform",11,"It doesn't exist and that's the point.","As UK as a whole.",12,"__NA__",2,2,2,2,4,4,6,5,4,2,2,3,1,8,7,3,1,9,6,6,1,6,6,1,10,9,9,7,1,3,"__NA__",1,"__NA__",4,2,1,1,1,1,1,2,1,4,1,3,1,1,2,3,3,1,3,1,1,16,0.229791182400114,0.41327070959392,0
"410",410,2010-05-07,2010-05-07 15:23:18,2,2,NA,"__NA__",4,NA,"__NA__",NA,"__NA__",3,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Political System","The single most important issue is the two /three party system. It simply is outdated,(as Capitalism is eg Greece and others to foll",11,"Humans that believe in co-operation, working together for the common good.I don't know of any party which has this.","In Wales, it is to prevent the language issue, becoming a force that divides people.",12,"__NA__",6,5,5,4,3,2,3,2,3,3,6,6,6,8,6,5,5,8,12,6,12,12,4,2,9,6,9,1,1,3,"__NA__",6,"__NA__",4,1,1,1,4,4,4,1,1,2,2,3,2,1,2,2,4,1,3,1,1,10,0.406891434888244,0.308229585217676,NA
"411",411,2010-05-07,2010-05-07 15:24:05,1,1,4,"__NA__",4,4,"__NA__",2,"__NA__",9,2,2,2,1,1,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,2,2,2,2,"__NA__",1,2,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,2,2,2,2,2,1,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","The Economy",2,"__NA__","The Economy",7,"__NA__",3,2,6,5,6,5,5,1,5,3,1,2,8,6,6,2,7,6,12,5,5,12,11,4,6,11,11,11,11,4,"__NA__",2,"__NA__",4,2,1,1,1,3,1,2,1,4,1,4,1,2,1,1,1,1,3,2,1,2,0.709073418081043,0.517255686596844,1
"412",412,2010-05-07,2010-05-07 15:24:34,1,1,2,"__NA__",1,1,"__NA__",NA,"__NA__",2,2,1,2,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Immigration / Asyl","immigration",4,"__NA__","economy",4,"__NA__",5,1,4,1,4,1,5,1,5,4,3,1,10,7,5,1,11,5,4,4,6,3,1,11,6,4,7,6,1,2,"__NA__",2,"__NA__",3,2,3,1,1,1,1,2,1,4,2,3,2,2,2,3,3,1,2,2,1,2,0.682243820060277,0.604773945266179,0
"413",413,2010-05-07,2010-05-07 15:25:24,1,1,2,"__NA__",1,2,"__NA__",NA,"__NA__",2,2,1,2,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,1,2,2,2,2,2,2,2,2,"__NA__",NA,1,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","economy",4,"__NA__","jobs",4,"__NA__",4,3,3,1,4,1,3,3,5,3,3,1,11,5,5,2,11,6,5,5,12,5,1,11,3,3,1,1,1,2,"__NA__",2,"__NA__",3,2,2,1,2,1,2,2,1,3,3,3,3,4,2,3,3,1,1,2,1,5,0.832783029853698,0.962348435510106,0
"414",414,2010-05-07,2010-05-07 15:28:13,1,1,7,"__NA__",4,2,"__NA__",NA,"__NA__",9,2,1,1,2,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,2,2,2,2,"__NA__",4,3,4,NA,5,NA,NA,NA,NA,"Europe","Europe",9,"__NA__","Welsh assembly spending millions building an off-shoot of their quango in Nth Wales.",4,"__NA__",4,2,3,2,5,2,5,3,4,5,5,9,7,3,6,8,8,5,1,12,12,12,9,8,3,2,1,10,9,8,"__NA__",7,"__NA__",2,2,2,1,2,3,2,2,1,1,4,1,3,5,5,5,3,2,3,2,1,1,0.210992632349586,0.641887776779495,0
"415",415,2010-05-07,2010-05-07 15:28:27,1,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",11,2,1,1,1,1,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,2,2,2,2,2,2,2,2,2,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","Economy",3,"__NA__","Economy",3,"__NA__",2,4,6,5,2,3,3,1,1,1,2,10,1,5,4,9,1,6,6,10,1,3,11,1,5,6,8,1,1,6,"__NA__",6,"__NA__",4,2,1,1,1,1,2,2,1,3,2,3,2,6,2,6,6,1,3,2,1,8,0.100448863035384,0.176243736292225,0
"416",416,2010-05-07,2010-05-07 15:30:22,1,1,1,"__NA__",4,4,"__NA__",5,"__NA__",11,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,2,2,2,2,2,2,1,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","climate change",8,"__NA__","climate change",7,"__NA__",1,3,6,5,1,3,1,3,1,1,1,8,1,6,11,9,1,7,9,7,1,6,10,1,3,11,11,1,1,4,"__NA__",1,"__NA__",3,5,4,1,2,2,1,4,1,2,2,3,2,2,2,3,6,1,3,1,1,8,0.0747306606997161,0.126890602502741,1
"417",417,2010-05-07,2010-05-07 15:30:31,1,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",3,2,1,1,1,1,2,1,2,2,"__NA__",1,1,2,2,2,2,2,2,"__NA__",2,1,2,1,2,1,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,2,2,2,2,2,2,2,2,2,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Environment",8,"__NA__","Unemployment",3,"__NA__",1,2,6,5,2,3,6,5,2,2,6,9,1,6,4,8,1,6,12,12,1,12,11,1,6,1,6,1,1,1,"__NA__",6,"__NA__",4,2,1,1,1,1,1,4,1,3,2,3,2,2,2,2,4,1,1,2,1,8,0.0679896229833384,0.122932714282006,0
"418",418,2010-05-07,2010-05-07 15:30:31,1,1,1,"__NA__",4,5,"all parties are as bad as each other but would never vote conservative and lib dem no real chance of getting in,so as voted labour all my life was only real choice left",NA,"__NA__",9,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deficit","debt of country",12,"__NA__","jobs",12,"__NA__",2,2,2,2,6,5,6,5,3,2,2,8,1,6,6,7,1,8,4,8,2,5,8,1,5,4,1,1,1,1,"__NA__",1,"__NA__",4,2,1,1,1,1,1,2,1,3,1,4,1,6,2,2,2,1,2,1,2,3,1.57781309373011,1.37206947844969,0
"419",419,2010-05-07,2010-05-07 15:31:26,1,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",1,2,2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,1,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,2,2,2,2,"__NA__",1,4,3,NA,4,NA,NA,NA,NA,"Economy (General)","The economy",3,"__NA__","housing",3,"__NA__",1,2,1,2,3,3,1,3,1,1,2,11,1,6,6,10,1,5,6,11,1,5,11,1,1,2,1,1,1,1,"__NA__",1,"__NA__",4,2,1,1,1,1,1,2,1,3,1,2,1,2,2,2,6,1,3,2,2,9,0.273280467516612,0.277437068520764,0
"420",420,2010-05-07,2010-05-07 15:31:31,2,1,3,"__NA__",1,1,"__NA__",NA,"__NA__",3,2,2,2,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,2,2,2,1,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deficit","taxation",5,"__NA__","crime",5,"__NA__",2,2,6,5,4,3,4,2,4,3,3,6,1,11,6,4,1,11,6,6,6,11,1,1,11,1,6,1,1,3,"__NA__",6,"__NA__",5,2,1,1,1,1,1,2,1,3,1,3,1,1,2,2,6,1,3,1,2,16,0.831056429676529,0.762357642566703,0
"421",421,2010-05-07,2010-05-07 15:31:48,1,1,1,"__NA__",3,1,"__NA__",NA,"__NA__",9,2,1,1,1,1,2,1,1,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,2,2,2,2,2,2,2,"__NA__",2,5,2,NA,NA,NA,NA,NA,NA,"Economy (General)","the economy",3,"__NA__","the economy",3,"__NA__",2,1,2,1,3,3,3,1,2,2,3,9,2,7,5,9,1,8,4,9,5,6,10,2,7,3,6,3,7,1,"__NA__",1,"__NA__",3,1,1,1,2,2,2,2,1,2,2,2,3,3,2,2,3,1,2,1,1,2,0.280805314326047,0.253820507880485,0
"422",422,2010-05-07,2010-05-07 15:33:06,1,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",11,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","economy",3,"__NA__","economy",3,"__NA__",6,5,6,5,2,2,6,5,1,1,6,8,1,4,6,9,1,6,6,8,1,6,11,1,1,4,1,1,1,1,"__NA__",1,"__NA__",4,1,1,1,1,1,1,2,1,3,2,3,2,2,2,2,3,1,2,1,2,3,0.935338104765901,1.37206947844969,0
